section,condition,horizon,metric_mean,metric_std,relative_change_percent,statistical_support,interpretation
robustness,small_sample,3,7.425470156150099,7.635972449670391,23.85648925587628,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at 20.
robustness,small_sample,6,9.228882471238125,9.233939236264431,29.695004063954308,phase14_robustness_statistical_tests.csv,Maximum degradation occurs at 20.
stratified,coverage:high,1,1.3871202530903404,0.1004777442258494,53.17657074249748,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:high,3,1.2933405831444342,0.0371420610718455,61.524439100265866,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:high,6,1.2211546126397266,0.0138977395937658,71.39359347206637,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:low,1,1.1057932537217634,0.1033652801961374,21.99638842116644,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:low,3,0.9443914900554324,0.0328828645582731,17.869152076542115,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:low,6,0.8555257978016684,0.0350661690136297,20.11809513835412,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:medium,1,0.9050987932328972,0.0548676708601509,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:medium,3,0.8028820975492318,0.057414622509958,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,coverage:medium,6,0.7128236305768088,0.0210778200709545,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:high,1,1.3974565455729546,0.1055070480283851,60.7304456584219,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:high,3,1.3045024136716523,0.0362293227307458,75.35763213966392,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:high,6,1.262892482364189,0.0258426698121167,89.83986082954863,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:low,1,1.1533803376284513,0.0831234268608983,32.69207797224546,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:low,3,0.9722117031814304,0.0383740165945079,30.5944190268004,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:low,6,0.872148564536238,0.0297255480396803,31.141013281739067,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:medium,1,0.8703616615470129,0.0766356319348479,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:medium,3,0.7459473859014853,0.0538250266944496,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,reliability:medium,6,0.6656208425890033,0.017445888036902,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:degraded,1,1.6116210432047549,0.1385413670790215,95.6709590616673,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:degraded,3,1.5316212789614134,0.0533021796640931,126.30438633117888,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:degraded,6,1.487547588808607,0.0522427347992478,164.3599893249046,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:free-flow,1,1.055202918635106,0.0845390683692594,28.11389428219193,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:free-flow,3,0.8842540191030744,0.0428475773186968,30.51441104182849,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:free-flow,6,0.8429053712689706,0.0204640949087527,49.76755073451263,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:moderate,1,0.8246289872024661,0.0657746576319325,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:moderate,3,0.6776506293801701,0.0349414396511904,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,traffic_state:moderate,6,0.56284644627758,0.0121943124111539,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:high,1,1.7050059276311649,0.1408297160349051,156.130303652522,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:high,3,1.528950333272604,0.04950073574755,155.92448753829535,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:high,6,1.404643061613926,0.0385164088730056,149.5661290786594,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:low,1,0.6663111024426237,0.0416066275894908,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:low,3,0.5985147480991031,0.0360188187482825,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:low,6,0.5631730541121329,0.0150621971966195,0.0,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:medium,1,1.0514727667560728,0.0996577345229208,57.93525721123664,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:medium,3,0.9031181046663952,0.0427550474232926,51.03896240866018,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
stratified,volatility:medium,6,0.8397748643875123,0.0233028768224118,49.11547839917126,phase14_stratified_statistical_tests.csv,Stratified descriptive/error-heterogeneity summary with independent-group statistical support where available.
