path,sha256,bytes
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\phase14_robustness_statistical_tests.csv,15e62d03fff1c2fb932b00c775fc1ebbf75a1e4ba4aaeb4f7f98a8547572f25a,6023
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\phase16_degradation_summary.csv,5a8cbff51120ade01bc3997e66b5f0ef64eab688ec2f6a9db0fc69f3d923e0bd,777
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\phase16_missingness_stress.csv,7210100c45de8efda279a83583743eb2dbaee19d75460d2559529444eb47eddb,10418
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\phase16_noise_stress.csv,c55e9895023ea6aa9bb94c6b16c880fabe68a246c1024c8a677e99bc1bea0fd9,10252
01_FIGURE_CANDIDATE_DATA\Fig07_candidate_data\phase16_small_sample_training.csv,69e8d515a0deb676060205ada1ac6fa1a3e82f4a60223ad8649de010cdd73c77,13788
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\coverage_by_granularity.csv,75fcd6711b33f5be9e891f8e06e95cd8f8f469760ae98b6a5d3d94007f787148,855
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\data_inventory.csv,3f78b15851a7adf300d450b6928088f3501fb16fe691d0b6b6c268fec65c92a0,11728
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,42073
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\Table01_data_dictionary.csv,d0bf447d60b630ff9201bbecacf4e960fc63a212a40f196822ed14d19a765a65,6992
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\Table01_file_inventory.csv,1e366275d7293851e278cab64470cb8724748247e1accfd97ad7d17ad152762f,1441
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\Table01_readiness_notes.md,1f041e781defb2cc977017addd9bc4087e18bab0cae6bc9823e26f150559068c,201
02_TABLE_CANDIDATE_DATA\Table01_candidate_data\train_val_test_split_summary.csv,f9dbf5e106b5d3585137a44f75a8883d94b2fbe1408eee439f7df2db79dbae3b,231
02_TABLE_CANDIDATE_DATA\Table02_candidate_data\Table02_data_dictionary.csv,517d379edf7376d3944de21ec513eab1da50e256cf405090991fcd9acd8e8e22,2019
02_TABLE_CANDIDATE_DATA\Table02_candidate_data\Table02_file_inventory.csv,d916ca2a2146cb43fbd1f1bf7034d52051bce3c2d5676e925477cafd4b613f7a,523
02_TABLE_CANDIDATE_DATA\Table02_candidate_data\Table02_model_settings.csv,66a2579d45999f28d8555869775c4c01eb3e031f170a99422201ddb6e4476641,3520
02_TABLE_CANDIDATE_DATA\Table02_candidate_data\Table02_readiness_notes.md,51eb37da583d8627bf44e82090f2813905a443b6496787cd7f5a2e037c2d31e4,193
02_TABLE_CANDIDATE_DATA\Table03_candidate_data\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,42073
02_TABLE_CANDIDATE_DATA\Table03_candidate_data\phase14_final_mean_std_summary.csv,0acbd7867304a5d1c31cd6dcebb86a3736a97512ccd46490a131a1af9b51510b,3038
02_TABLE_CANDIDATE_DATA\Table03_candidate_data\phase14_main_model_statistical_tests.csv,c1bcb6f83081c1c072f19523c90cc5532e1b844d2d0c7f82f0afd3bc5ba513a3,4582
02_TABLE_CANDIDATE_DATA\Table03_candidate_data\Table03_data_dictionary.csv,fc07a41002347be63745f822ea7da20ce2d1826347d46ba628a9e55dfbf30cee,6414
02_TABLE_CANDIDATE_DATA\Table03_candidate_data\Table03_file_inventory.csv,285ead22e6db8355363d7eec8d76b1902ee7a584a284a0621dcda576f20e6984,1284
02_TABLE_CANDIDATE_DATA\Table03_candidate_data\Table03_readiness_notes.md,0c879cc48f7141ac5939e1f22f296b74578ce78ea23d60fa9b2bc490b4266d4e,191
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\phase15_feature_ablation_metrics.csv,ef8395b6bb37b52400ada12c2baa11ff4b9957c29f66432c68917b5dd3ffac9f,25225
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\phase16_degradation_summary.csv,5a8cbff51120ade01bc3997e66b5f0ef64eab688ec2f6a9db0fc69f3d923e0bd,777
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\phase17_combined_stratified_summary.csv,a1c74cef2508b47545936cad38ab2d5f3504b2a459399a0fcd5d0deb055fd24a,3774
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\Table04_ablation_robustness_stratified_summary.csv,d06972fd0444ecb1451b6674f6742f3298493012688b06e732edfa3a811f8615,13617
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\Table04_data_dictionary.csv,d38df39f090ae5ffb465d16624c9da4d67552bff9076528ed8392c8c344039c2,6395
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\Table04_file_inventory.csv,ca8c6fb2318bf2348a393999ab56c6bf1cbf430bf4fbda77041eddb14caaa3fc,1575
02_TABLE_CANDIDATE_DATA\Table04_candidate_data\Table04_readiness_notes.md,13cd0924382e0594d23994e202e08ec4ee259aa61d3a71244c9e1ff38651da07,208
03_PHASE13_MAIN_RESULTS\logs\phase13_strong_baselines_full.log,e76eef3632173c33387dd3293987e87349d2b3a2544453c81706d20b9a462a8c,8204
03_PHASE13_MAIN_RESULTS\logs\phase13_strong_baselines_full_console.log,c5b3327dc8f0757df934a35bfe4caa28add516157a50813f901e675484e07153,1636
03_PHASE13_MAIN_RESULTS\logs\phase13_strong_baselines_smoke.log,b6e6528cd07a4cee4c77b7efc43a0a67a1f850d31c02b910eabea8eddcbf470c,17512
03_PHASE13_MAIN_RESULTS\logs\phase13_strong_baselines_smoke_console.log,993044d647ea7016f3614bdef22df85afe91c650a572a33a1279c0c05804e291,17118
03_PHASE13_MAIN_RESULTS\phase13_all_metrics_combined.csv,99e4adfa20294b45a06517200d0efd4b12621975db5c9da55526d0f622ff8ccf,41624
03_PHASE13_MAIN_RESULTS\phase13_metric_inventory.csv,94d661d80acbe7929c6f3a75da3dd3514d2dc1955ede75d343fa3fa2a45c2a5d,382
03_PHASE13_MAIN_RESULTS\phase13_metric_parquet_recompute_check.csv,fd96e0f18a9371253ec03b6cdf23b75a15923213f6ce0ec60cef96fe238ea2d0,11172
03_PHASE13_MAIN_RESULTS\phase13_metric_summary_by_model_horizon.csv,3fea5b9af26e20355dcf78608bb0fcc62345d39e9fc8bf408a0dfb259e6854be,1827
03_PHASE13_MAIN_RESULTS\phase13_model_horizon_seed_matrix.csv,676dc6c7c63e344d41e9bfbe8fe29093c9558fe806ae717a0f1dd84c6d082c86,730
03_PHASE13_MAIN_RESULTS\phase13_parquet_inventory.csv,dbb2c13cf1091f9d37e21f490af4ae277a9c2604da6471f9927993ee702dbe7c,23685
03_PHASE13_MAIN_RESULTS\phase13_readiness_report.md,bb5b7e30f18f2875b486921780b862325f3c8693a7646b1fe9a439b01fd94ca8,301
03_PHASE13_MAIN_RESULTS\phase13_sample_id_consistency_check.csv,f4bee91e4ca6174172cd16635831ec625dafeffa20e90e6dddc1772625aeb104,143
03_PHASE13_MAIN_RESULTS\phase13_seed_completeness_check.csv,a1fc9f9629d2f7d8fb4af1d59ccc01b3af3fc519281b68f12e9b638bdfc9ad06,428
03_PHASE13_MAIN_RESULTS\phase13_strong_baseline_metrics.csv,fe0ed0cef3a4d373bc755cba62fa167ca38203115881d248c98a0fa3561d2ffe,42073
03_PHASE13_MAIN_RESULTS\phase13A_full_validation_report.md,a646b3b1a02bda64554c0aa10e8bd40ee6c8c1c0eb8f9d0d928344aacd58dada,83395
04_PHASE15_ABLATION_RESULTS\logs\phase15_feature_ablation_full.log,179ea118dda16af54706db6fe5b18bb2d1d5c210571d89bffc83e8dbcb51ca63,20085
04_PHASE15_ABLATION_RESULTS\logs\phase15_feature_ablation_full_console.log,81cca763840af793c8e50417279f7b79d6482eaff38f4818c834f6162b7f2084,40452
04_PHASE15_ABLATION_RESULTS\logs\phase15_feature_ablation_smoke.log,4a9c2afab33958b8ac692be7f2c3a1c6a5f70fd569ffb7c9ccb1982780de1980,13620
04_PHASE15_ABLATION_RESULTS\logs\phase15_feature_ablation_smoke_console.log,a653191faa3eb266ec74bd86af286177a71102e80eb1b5d3d8e37f816f64a2b1,18130
04_PHASE15_ABLATION_RESULTS\phase15_ablation_summary.csv,f7835e1125b68d56dbebcad2fce84ca695e982e812190674dd0396e64efe2720,1776
04_PHASE15_ABLATION_RESULTS\phase15_all_metrics_combined.csv,bd3c3b67a71a19382561418aacdc8983dc2b3083ea1c63f73d892240f4c5159c,24881
04_PHASE15_ABLATION_RESULTS\phase15_feature_ablation_metrics.csv,ef8395b6bb37b52400ada12c2baa11ff4b9957c29f66432c68917b5dd3ffac9f,25225
04_PHASE15_ABLATION_RESULTS\phase15_metric_inventory.csv,da73201c82eca2aefacce763e6f286ab93263d5591f38286a3dd0c41bdc8cd04,418
04_PHASE15_ABLATION_RESULTS\phase15_readiness_report.md,312da9cfd501b8428078146c2a74bdb63906c1df9bb138cf73b4dbf4eaa80c43,199
04_PHASE15_ABLATION_RESULTS\phase15_sample_id_consistency_check.csv,9ba9b5f6ef4f07d66be2470451d2348e3560a13d23cd8f87c3cfc25d15715be5,596
04_PHASE15_ABLATION_RESULTS\phase15_seed_completeness_check.csv,d369c26951c4eedfce0090ab1eab14a80f0ff2f9955bd19805abd137c182134d,403
04_PHASE15_ABLATION_RESULTS\phase15_speed_only_reference_check.csv,aaa639ec4fac8d6a48a2088996ecb50f9d5ae8810babb27b9b89dbc719ed018a,494
04_PHASE15_ABLATION_RESULTS\phase15_validation_report.md,fda74592aaaab7732ec48b97ff205866d225a45bab9170566929056d419a413f,56800
05_PHASE16_ROBUSTNESS_RESULTS\logs\phase16_robustness_full.log,87794bf88cf4f7fcd9801ebfcf8150562aaa01ba26d2ce6f4934cafc4021689b,8425
05_PHASE16_ROBUSTNESS_RESULTS\logs\phase16_robustness_full_console.log,061bcd8215aac21146b6e379505dbf06b6eb39921e46c75cea4cdb55e18675c0,17552
05_PHASE16_ROBUSTNESS_RESULTS\logs\phase16_robustness_smoke.log,46181fc67ad85311e02c3c887d48ac6180d831b6062ea55a966d45e2477e86dc,25278
05_PHASE16_ROBUSTNESS_RESULTS\logs\phase16_robustness_smoke_console.log,7753bdd44e1181d9e2f90024ab39cf4ac9c848612c33a73e5be38add57c8a120,17538
05_PHASE16_ROBUSTNESS_RESULTS\phase16_degradation_summary.csv,5a8cbff51120ade01bc3997e66b5f0ef64eab688ec2f6a9db0fc69f3d923e0bd,777
05_PHASE16_ROBUSTNESS_RESULTS\phase16_missingness_metrics_combined.csv,31f410f824600c99f0737fcc40382a33c23f18cd586b7b2b574a298ab3262459,10200
05_PHASE16_ROBUSTNESS_RESULTS\phase16_missingness_stress.csv,7210100c45de8efda279a83583743eb2dbaee19d75460d2559529444eb47eddb,10418
05_PHASE16_ROBUSTNESS_RESULTS\phase16_missingness_summary.csv,089d6e6b4d975f18184d32c52c08ad1367ba29070b6484f67b38a9714b70e96a,550
05_PHASE16_ROBUSTNESS_RESULTS\phase16_noise_metrics_combined.csv,0c40cb0682e708665dee72b5625771189664caae48090a0699b7f1873a955157,10006
05_PHASE16_ROBUSTNESS_RESULTS\phase16_noise_stress.csv,c55e9895023ea6aa9bb94c6b16c880fabe68a246c1024c8a677e99bc1bea0fd9,10252
05_PHASE16_ROBUSTNESS_RESULTS\phase16_noise_summary.csv,05bad798c652f2c54b8b89a8a9e56504e868f66232821282ecaf1b67f5427491,589
05_PHASE16_ROBUSTNESS_RESULTS\phase16_readiness_report.md,79bc8db1d5f1eed35dce330b616f598b64a16f8f68a5a144b8e30422abf4836b,163
05_PHASE16_ROBUSTNESS_RESULTS\phase16_reference_checks.csv,ed81e63811ea51787a93b9d984dca6b7b607829796a0606d2b9551ac98d3ac32,99
05_PHASE16_ROBUSTNESS_RESULTS\phase16_seed_completeness_check.csv,7a79264f93ba350fce21eb7cf38de26df9c83efc39586b6bc8b30e55e1f8924d,870
05_PHASE16_ROBUSTNESS_RESULTS\phase16_small_sample_metrics_combined.csv,2d9b93c1ccd452cbb0ead97822a4196e41b598da8972767eeaad17fdd00a35d5,13473
05_PHASE16_ROBUSTNESS_RESULTS\phase16_small_sample_summary.csv,2ab90ccdb35e8ef0a0f8a3cc622528eace2059a960287a107e5dc6bf9b50823a,704
05_PHASE16_ROBUSTNESS_RESULTS\phase16_small_sample_training.csv,69e8d515a0deb676060205ada1ac6fa1a3e82f4a60223ad8649de010cdd73c77,13788
05_PHASE16_ROBUSTNESS_RESULTS\phase16_validation_report.md,40a1970126a8680885ed57ac719ade38fd95e4556a3e40c15fd7d58fc2a82bf8,59588
06_PHASE20_FULL_RESULTS\FigS1_metr_la_mini_sanity.csv,e3c25b701187d0c278256c11d2116e5690f13d8e53a4d68760c895e01b980bee,1322
06_PHASE20_FULL_RESULTS\logs\phase20_metr_la_mini_sanity_full.log,3d25dcf1eaae27b6bbbbdd55befebffffeae4bee383f95a86099212e3641b0ff,7402
06_PHASE20_FULL_RESULTS\logs\phase20_metr_la_mini_sanity_smoke.log,b93dc1235ad2e8db5c98486a7151c0eaf91cb156f96ae49eb7ac433482c71dba,6581
06_PHASE20_FULL_RESULTS\phase20_all_metrics_combined.csv,6459a61b4cb6293fad09d38e09b4ff0b0ca6337d3946d691d354360f184b68e7,27122
06_PHASE20_FULL_RESULTS\phase20_metr_la_mini_sanity_report.md,b7409f54b12cf59a17551584b8bb6102a79ea72248d320a33a52a0ca0fda0bcf,2127
06_PHASE20_FULL_RESULTS\phase20_metr_la_mini_validation_report.md,cbf64d4659dd23d1ae33c897c11320b014b3e81fffa060300e7878e82cab6430,55830
06_PHASE20_FULL_RESULTS\phase20_metric_inventory.csv,c8bb2853de77b9d605228178da5221fceba5a5df33fd5202a46e7e4a86768a73,419
06_PHASE20_FULL_RESULTS\phase20_metric_summary_by_model_horizon.csv,95fb12d8c1facff45199aba8c4f422d523f6d14b3a7ba021dc3f11b98b095011,1219
06_PHASE20_FULL_RESULTS\phase20_model_horizon_seed_matrix.csv,88dc849655c8f70ed7f96bb70a1d24c64aaf0b2d3271dacc06790d729f811a54,564
06_PHASE20_FULL_RESULTS\phase20_prediction_inventory.csv,d9c4f8f31b5787301eb775a6b6eb36f8162175708e404b05178814a887546792,9352
06_PHASE20_FULL_RESULTS\phase20_readiness_report.md,9a21e954a69a752fdb878c94fcddebe8c1f79849dacffd82beae0fc3caeb3199,380
06_PHASE20_FULL_RESULTS\phase20_seed_completeness_check.csv,554c4fe827d8d5933b73b27cb75874210e8273cc1a271565c997e6639e9f068d,326
06_PHASE20_FULL_RESULTS\TableS1_metr_la_mini_results.csv,0266fa9e7846ac41a099c983cab96998109d77f92697050a8d3a5005dfb7ec35,27309
07_PREDICTION_PARQUETS\all_prediction_parquet_inventory.csv,a2919e7761b63e2cd9a48a0877287056b77f975411e091c87b4c06b76cec4f4b,106119
07_PREDICTION_PARQUETS\parquet_metric_recompute_check.csv,1a9801aa8d9a97e6fd18725aedc7a84f4d77d481dc7a52ece6f6d50c198df65f,47474
07_PREDICTION_PARQUETS\parquet_readability_check.csv,1962da28846a045c25b9c6cf8874995832e3627760fc836f455054adbbe72a1e,25621
07_PREDICTION_PARQUETS\parquet_sample_id_consistency_check.csv,e0aedf7f1ab4568b61eae221466a713ebcf47be9e24b9048d1b829cdab9c6fb3,1805
07_PREDICTION_PARQUETS\parquet_schema_summary.csv,a35a31b79e0e2a1d99f1f04a53fd82c22567ab60c5035253bec35abc1468bfd1,61165
07_PREDICTION_PARQUETS\parquet_usage_notes.md,30b0265b3486fc2c99fbabffc081193571e12550e60d5e519a93e47be8135586,234
07_PREDICTION_PARQUETS\phase13\GRU_h1_seed2024.parquet,39bed638373695245ef1a6c7fc8a221073a0764702bdd0eaa48fe54c7cdb5480,268060
07_PREDICTION_PARQUETS\phase13\GRU_h1_seed2025.parquet,e94fe5272e39612868e47d8196a5f1cc84b10d37168932c2d18679ca9541e856,268228
07_PREDICTION_PARQUETS\phase13\GRU_h1_seed2026.parquet,5ed18b2c7f2876f966a2b6e7658af03fa9d4e25969e78325fdc3e9ef9c042efa,267488
07_PREDICTION_PARQUETS\phase13\GRU_h1_seed3407.parquet,d7313c5a8860f8c764fb55903a7578d2b6298f6897dca4055118dae2b3bdfe4f,268140
07_PREDICTION_PARQUETS\phase13\GRU_h1_seed42.parquet,119ffa292ec9f74ccc117cb0b993999ab587629050e876f943271dce8bfc5e9d,268004
07_PREDICTION_PARQUETS\phase13\GRU_h3_seed2024.parquet,657315cbb35d813f8f481a926897bdaa16b5fc2f8391932dab666d6fa6a158ee,264513
07_PREDICTION_PARQUETS\phase13\GRU_h3_seed2025.parquet,bfda4a78fc68ed26a719a4f0c567493e17c496a5111220830bbb3f7d04ab3671,264473
07_PREDICTION_PARQUETS\phase13\GRU_h3_seed2026.parquet,fb6696d3d1a9fd7cdfa07534de37c7966a6d27d2f96f1b8a2250e9143f62cde8,264773
07_PREDICTION_PARQUETS\phase13\GRU_h3_seed3407.parquet,d2f08cd6a5634b517ac623b9ace5a727b5ab743c2143dd81b3049dd599cb295e,264705
07_PREDICTION_PARQUETS\phase13\GRU_h3_seed42.parquet,c0b0fd44419e1936655ab235e8bda4c78921fda06f05d507c767552737ef04d9,264501
07_PREDICTION_PARQUETS\phase13\GRU_h6_seed2024.parquet,a919f24139e583397000443a641fbd0cff78a0845e1f0d36bd9e84d1b2eae433,274748
07_PREDICTION_PARQUETS\phase13\GRU_h6_seed2025.parquet,89ad73f6b54cbd42519e732cad422fc51fc7f8c4f285a724d052a6b77cef0b2d,274604
07_PREDICTION_PARQUETS\phase13\GRU_h6_seed2026.parquet,5dd0bec3c3c7bdbe8ce4a904aec38ce44fdd08585a0e881f7f475c974953bc95,274416
07_PREDICTION_PARQUETS\phase13\GRU_h6_seed3407.parquet,1ca476684ca02cbddc7a9099c93b7cced6196edf263e6ac46f318f1075093cad,275024
07_PREDICTION_PARQUETS\phase13\GRU_h6_seed42.parquet,c59b4fe1233ec78b8f1f21b3d72432eaecf3b867edd33e3bd69d81db68282161,275056
07_PREDICTION_PARQUETS\phase13\HA_h1_seed2024.parquet,12737d9bd4e673d046766834e6b1e45f5568f0961d5da866ba85eebfeb113db6,101009
07_PREDICTION_PARQUETS\phase13\HA_h1_seed2025.parquet,ce8a75cad5f6040d29df904d3c421836d4295af595caa001f7b118fd1dd789f7,101009
07_PREDICTION_PARQUETS\phase13\HA_h1_seed2026.parquet,21111b0661f4ba8311d08c9483611ae55f8c5d7e32c2135ef113e094da568f85,101009
07_PREDICTION_PARQUETS\phase13\HA_h1_seed3407.parquet,cb10f6ea2477cb4b658043fba0914f1bebe18a4e299c073c77752e9d4a243fd3,101009
07_PREDICTION_PARQUETS\phase13\HA_h1_seed42.parquet,9ddf219588a9b5f9bec8468616900d68b9f7d0516a9a073a8bbe2e5365361577,101009
07_PREDICTION_PARQUETS\phase13\HA_h3_seed2024.parquet,fa17c1c09ff73816c8d255c201873cf326e0bea1c9784a77208901c37f76af63,109283
07_PREDICTION_PARQUETS\phase13\HA_h3_seed2025.parquet,1859180ce8e8036111cb928a51f93aa865d727706d1ae20ececd208c1382cd90,109283
07_PREDICTION_PARQUETS\phase13\HA_h3_seed2026.parquet,19a372cf94ad8f8debca6d98d668fe030b241e66f26df24bed24e71c7b033f2f,109283
